,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
11,2022-08-18,4273.13,4283.74,2871990000.0,5.5,2.565,2.88,295.271,0.0,93.2,3.5,20.93,64.01,4.78,50.0,20.51,19.559999,1762.9,1755.3,321.0,12937.790039,12965.339844,4663920000.0,28957.400391,28942.140625,47400000.0,1.2947,0.29,4274.04,0.22695154935376874,0,4228.48,-1.2899942573545597,-1
12,2022-08-17,4280.4,4274.04,3293430000.0,5.5,2.568,2.893,295.271,0.0,90.85,3.5,20.93,64.01,4.78,50.0,19.74,19.9,1769.7,1760.3,23.0,12968.629883,12938.120117,5166110000.0,28952.650391,29222.769531,66600000.0,1.2909,0.51,4305.2,-0.7237758989129391,-1,4283.74,0.22695154935376874,0
13,2022-08-16,4290.46,4305.2,3792010000.0,5.5,2.598,2.824,295.271,0.0,89.23,3.5,20.93,64.01,4.78,50.0,20.23,19.690001,1777.4,1773.2,308.0,13082.639648,13102.549805,4992400000.0,28829.529297,28868.910156,50100000.0,1.2844,-0.46,4297.14,0.18756661407353473,0,4274.04,-0.7237758989129391,-1
14,2022-08-15,4269.37,4297.14,3087740000.0,5.5,2.513,2.791,295.271,0.0,92.24,3.5,20.93,64.01,4.78,50.0,20.74,19.950001,1799.0,1781.4,64.0,12996.629883,13128.049805,4445180000.0,28623.779297,28871.779297,53700000.0,1.2904,1.03,4280.15,0.3969487050687638,0,4305.2,0.18756661407353473,0
15,2022-08-12,4225.02,4280.15,3252290000.0,5.5,2.5,2.849,295.271,0.0,94.86,3.5,20.93,64.01,4.78,50.0,20.34,19.530001,1786.3,1798.6,187.0,12866.30957,13047.19043,4755980000.0,28251.740234,28546.980469,89600000.0,1.2773,0.09,4207.27,1.7322396708554284,1,4297.14,0.3969487050687638,0
16,2022-08-11,4227.4,4207.27,3925060000.0,5.5,2.49,2.888,295.271,0.0,97.02,3.5,20.93,64.01,4.78,50.0,19.84,20.200001,1794.3,1789.7,1235.0,12944.820313,12779.910156,5785100000.0,27955.109375,27819.330078,59900000.0,1.2761,-0.09,4210.24,-0.07054229687617203,0,4280.15,1.7322396708554284,1
17,2022-08-10,4181.02,4210.24,3998590000.0,5.5,2.535,2.786,295.271,0.0,94.68,3.5,20.93,64.01,4.78,50.0,22.280001,19.74,1804.4,1795.6,601.0,12793.44043,12854.799805,5135480000.0,27955.109375,27819.330078,59900000.0,1.2773,-0.89,4122.47,2.1290634013103675,1,4207.27,-0.07054229687617203,0
18,2022-08-09,4133.11,4122.47,3337150000.0,5.5,2.57,2.797,295.271,0.0,93.18,3.5,20.93,64.01,4.78,50.0,21.41,21.77,1790.0,1794.0,249.0,12557.490234,12493.929688,5271940000.0,28236.839844,27999.960938,64900000.0,1.2888,0.26,4140.06,-0.4248730694724266,0,4210.24,2.1290634013103675,1
19,2022-08-08,4155.93,4140.06,3604650000.0,5.5,2.46,2.765,295.271,0.0,93.52,3.5,20.93,64.01,4.78,50.0,21.74,21.290001,1771.8,1786.8,127.0,12703.719727,12644.459961,5190590000.0,28050.089844,28249.240234,66100000.0,1.2854,-0.59,4145.19,-0.12375789770792654,0,4122.47,-0.4248730694724266,0
20,2022-08-05,4115.87,4145.19,3540260000.0,5.5,2.41,2.84,295.271,0.0,91.77,3.5,20.93,64.01,4.78,50.0,21.5,21.15,1791.2,1772.9,645.0,12538.799805,12657.549805,4888110000.0,27915.060547,28175.869141,71300000.0,1.293,0.51,4151.94,-0.16257460367924392,0,4140.06,-0.12375789770792654,0
21,2022-08-04,4154.85,4151.94,3565810000.0,5.5,2.378,2.676,295.271,0.0,91.29,3.5,20.93,64.01,4.78,50.0,22.059999,21.440001,1769.4,1788.5,285.0,12675.040039,12720.580078,5408540000.0,27930.939453,27932.199219,83100000.0,1.2864,0.2,4155.17,-0.07773448499099851,0,4145.19,-0.16257460367924392,0
22,2022-08-03,4107.96,4155.17,3544410000.0,5.5,2.428,2.748,295.271,0.0,93.25,3.5,20.93,64.01,4.78,50.0,23.860001,21.950001,1756.7,1758.0,399.0,12433.870117,12668.160156,5628590000.0,27673.0,27741.900391,72300000.0,1.2838,-0.33,4091.19,1.5638481713144592,1,4151.94,-0.07773448499099851,0
23,2022-08-02,4104.21,4091.19,3880790000.0,5.5,2.463,2.741,295.271,0.0,97.14,3.5,20.93,64.01,4.78,50.0,24.08,23.93,1772.1,1771.1,1078.0,12287.669922,12348.759766,4742630000.0,27812.480469,27594.730469,71800000.0,1.288,0.27,4118.63,-0.666240958765416,-1,4155.17,1.5638481713144592,1
24,2022-08-01,4112.38,4118.63,3540960000.0,5.5,2.265,2.606,295.271,0.0,96.59,3.5,20.93,64.01,4.78,50.0,22.41,22.84,1763.9,1769.0,705.0,12317.959961,12368.980469,4373610000.0,27813.820313,27993.349609,71900000.0,1.2845,0.41,4130.29,-0.28230463236237296,0,4091.19,-0.666240958765416,-1
25,2022-07-29,4087.33,4130.29,3817740000.0,5.5,2.298,2.642,295.271,0.0,101.31,3.5,19.77,64.01,5.06,50.0,22.129999,21.33,1754.0,1762.9,3485.0,12239.69043,12390.69043,4893090000.0,27915.220703,27801.640625,79300000.0,1.2793,-0.09,4072.43,1.4207733466259733,1,4118.63,-0.28230463236237296,0
26,2022-07-28,4026.13,4072.43,3882850000.0,5.5,2.308,2.681,295.271,0.0,99.11,3.5,19.77,64.01,5.06,50.0,23.33,22.33,1732.3,1750.3,37236.0,12036.480469,12162.589844,4892770000.0,27909.150391,27815.480469,83500000.0,1.2804,-0.13,4023.61,1.2133382708562634,1,4130.29,1.4207733466259733,1
27,2022-07-27,3951.43,4023.61,3584170000.0,4.75,2.383,2.734,295.271,0.0,100.03,3.5,19.77,64.01,5.06,50.0,24.27,23.24,1719.1,1719.1,144865.0,11756.19043,12032.419922,4559800000.0,27575.160156,27715.75,51100000.0,1.2821,-0.49,3921.05,2.6156259165274593,1,4072.43,1.2133382708562634,1
28,2022-07-26,3953.22,3921.05,3083420000.0,4.75,2.475,2.787,295.271,0.0,97.74,3.5,19.77,64.01,5.06,50.0,23.950001,24.690001,1718.0,1717.7,1.0,11701.530273,11562.570313,4304110000.0,27682.199219,27655.210938,50000000.0,1.2884,0.28,3966.84,-1.1543193070554891,-1,4023.61,2.6156259165274593,1
