year_month,S&P_Open,S&P_Close,Close_t-1,return(%),return_class,Close_t+1,t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,Div_Ratio,CS_Index
2022-8,4112.38,3955.0,4130.29,-4.244011921681044,0,,,2.5827391304347826,2.899304347826087,295.271,0.0,93.91095238095238,3.5,20.93,4.78,1.395217391304348,64.01,51.5
2022-7,3781.0,4130.29,3785.38,9.111634763220597,2,3955.0,0.0,2.16655,2.89175,295.271,0.0,101.619,3.5,19.77,5.06,1.386,64.01,51.5
2022-6,4149.78,3785.38,4132.15,-8.39199932238664,0,4130.29,2.0,1.4424285714285714,3.1405238095238093,295.328,0.0,114.83714285714285,3.6,19.7,5.08,1.4690476190476192,64.01,50.0
2022-5,4130.61,4132.15,4131.93,0.005324388360871195,1,3785.38,0.0,0.9372857142857143,2.8995714285714285,291.474,1.3,109.55238095238094,3.6,20.42,4.9,1.5604761904761906,64.2,58.4
2022-4,4540.32,4131.93,4530.41,-8.79567191490394,0,4132.15,1.0,0.7299,2.74715,288.663,1.0,101.7775,3.6,22.19,4.51,1.7875,64.21,65.2
2022-3,4363.14,4530.41,4373.94,3.577323877327999,2,4131.93,0.0,0.41647826086956524,2.128608695652174,287.708,0.3,108.50260869565217,3.6,22.19,4.51,1.7200000000000002,63.86,59.4
2022-2,4519.57,4373.94,4515.55,-3.136052086678269,0,4530.41,2.0,0.2944736842105263,1.937842105263158,284.182,1.2,91.64105263157894,3.8,22.42,4.46,1.5826315789473684,64.17,62.8
2022-1,4778.14,4515.55,4766.18,-5.258508910699976,0,4373.94,0.0,0.13085,1.7624,281.933,0.8,83.22200000000001,4.0,23.11,4.33,1.734,64.2,67.2
2021-12,4602.82,4766.18,4567.0,4.36128749726298,2,4515.55,0.0,0.04649999999999999,1.4618636363636364,280.126,0.6,71.71181818181819,3.9,23.63,4.23,1.8531818181818183,64.18,70.6
2021-11,4610.62,4567.0,4605.38,-0.8333731418471463,1,4766.18,2.0,0.04214285714285714,1.5566190476190476,278.524,0.6,79.14750000000001,4.2,24.52,4.08,1.8676190476190475,63.97,67.4
2021-10,4317.16,4605.38,4307.54,6.9143873301234615,2,4567.0,1.0,0.043000000000000003,1.5771904761904763,276.59,0.7,81.47666666666666,4.6,24.39,4.1,1.7419047619047618,63.88,71.7
2021-9,4528.8,4307.54,4522.68,-4.756914042116628,0,4605.38,2.0,0.03190476190476191,1.3711904761904763,274.214,0.9,71.64619047619047,4.7,25.35,3.94,1.950952380952381,64.0,72.8
2021-8,4406.86,4522.68,4395.26,2.899032139168105,1,4307.54,0.0,0.04549999999999999,1.2778636363636364,273.092,0.4,67.73045454545455,5.2,26.23,3.81,1.9395454545454547,63.67,70.3
2021-7,4300.73,4395.26,4297.5,2.2748109365910465,1,4522.68,1.0,0.042095238095238095,1.3084285714285715,272.184,0.3,72.4852380952381,5.4,26.56,3.77,1.8628571428571428,63.3,81.2
2021-6,4216.52,4297.5,4204.11,2.221397632316955,1,4395.26,1.0,0.026545454545454542,1.513409090909091,270.955,0.5,71.37818181818182,5.9,26.7,3.75,1.8566666666666667,63.1,85.5
2021-5,4191.98,4204.11,4181.17,0.5486502581813129,1,4297.5,1.0,0.0067,1.61565,268.599,0.9,65.1695,5.8,28.05,3.56,1.9035,63.6,82.9
2021-4,3992.78,4181.17,3972.89,5.242531255584731,2,4204.11,1.0,0.010666666666666666,1.617904761904762,266.727,0.7,61.71666666666666,6.0,29.92,3.34,1.648095238095238,64.03,88.3
2021-3,3842.51,3972.89,3811.15,4.243863400810773,2,4181.17,2.0,0.019130434782608695,1.6083913043478262,265.028,0.6,62.333043478260876,6.0,30.5,3.28,1.5578260869565217,64.47,84.9
2021-2,3731.17,3811.15,3714.24,2.609147497199974,1,3972.89,2.0,0.03205263157894737,1.250578947368421,263.346,0.6,59.04631578947369,6.2,33.24,3.01,1.7657894736842104,65.16,76.8
2021-1,3764.61,3714.24,3756.07,-1.1136640158463602,1,3811.15,1.0,0.07189473684210528,1.068421052631579,262.2,0.4,52.008421052631576,6.4,35.96,2.78,1.8273684210526315,65.76,79.0
2020-12,3645.87,3756.07,3621.63,3.712140665943237,2,3714.24,1.0,0.07381818181818182,0.9281818181818182,261.564,0.2,47.025,6.7,39.26,2.55,1.6936363636363636,66.29,80.7
2020-11,3296.2,3621.63,3269.96,10.754565805086303,2,3756.07,2.0,0.07930000000000001,0.87035,260.721,0.3,40.93736842105263,6.7,37.16,2.69,1.73,66.57,76.9
2020-10,3385.87,3269.96,3363.0,-2.766577460600653,1,3621.63,2.0,0.08850000000000001,0.7736818181818182,260.352,0.1,39.39590909090909,6.9,35.3,2.83,1.5690909090909093,66.75,81.8
2020-9,3507.44,3363.0,3500.31,-3.9227954095494386,0,3269.96,1.0,0.09461904761904763,0.6734761904761906,260.19,0.1,39.63428571428571,7.9,34.27,2.92,1.6347619047619046,66.99,80.4
2020-8,3288.26,3500.31,3271.12,7.006468732421925,2,3363.0,0.0,0.09138095238095238,0.6447619047619048,259.58,0.2,42.33904761904762,8.4,34.41,2.91,1.62,67.4,74.1
2020-7,3105.92,3271.12,3100.29,5.510129697544421,2,3500.31,2.0,0.11227272727272729,0.6154545454545454,258.543,0.4,40.710454545454546,10.2,32.44,3.08,1.6968181818181818,67.93,72.5
2020-6,3038.78,3100.29,3044.31,1.838840328350267,1,3271.12,2.0,0.14513636363636365,0.7235454545454545,257.217,0.5,38.307272727272725,11.0,31.29,3.2,1.6572727272727272,68.59,78.1
2020-5,2869.09,3044.31,2912.43,4.528177501261837,2,3100.29,1.0,0.1111,0.6736,255.944,0.5,28.5625,13.2,27.82,3.59,1.537,68.93,72.3
2020-4,2498.08,2912.43,2584.59,12.684410293315368,2,3044.31,2.0,0.10828571428571429,0.6521904761904762,256.094,-0.1,16.547619047619047,14.7,24.97,4.01,1.479047619047619,68.89,71.8
2020-3,2974.28,2584.59,2954.22,-12.511932083595658,0,2912.43,2.0,0.24413636363636365,0.8637727272727272,258.165,-0.8,29.207727272727276,4.4,22.8,4.39,1.6468181818181817,68.39,89.1
2020-2,3235.66,2954.22,3225.52,-8.411046900964811,0,2584.59,0.0,1.501421052631579,1.5016315789473684,259.007,-0.3,50.54263157894737,3.5,26.42,3.78,1.8936842105263156,67.73,101.0
2020-1,3244.67,3225.52,3230.78,-0.16280898111292685,1,2954.22,0.0,1.5071428571428571,1.7543333333333333,258.682,0.1,57.519047619047626,3.5,24.88,4.02,1.7971428571428572,67.4,99.8
2019-12,3143.85,3230.78,3140.98,2.85898031824463,1,3225.52,1.0,1.5177619047619049,1.8619523809523808,258.263,0.2,59.81666666666667,3.6,22.78,4.39,1.7207692307692308,67.15,99.3
2019-11,3050.72,3140.98,3037.56,3.4047064090915105,2,3230.78,1.0,1.5271,1.8174500000000002,257.788,0.2,57.048947368421054,3.6,22.62,4.42,1.688,66.69,96.8
2019-10,2983.69,3037.56,2976.74,2.0431747482144953,1,3140.98,2.0,1.6311739130434784,1.7043043478260869,257.305,0.2,53.96304347826087,3.6,22.04,4.54,1.8578260869565215,66.27,95.5
2019-9,2909.01,2976.74,2926.46,1.7181167690656882,1,3037.56,1.0,1.8755,1.69345,256.596,0.3,56.947,3.5,22.44,4.46,2.02,66.03,93.2
2019-8,2980.32,2926.46,2980.38,-1.8091652742267788,1,2976.74,1.0,1.933681818181818,1.6237272727272727,256.179,0.2,54.80590909090909,3.7,21.67,4.61,2.221363636363636,65.64,89.8
2019-7,2971.41,2980.38,2941.76,1.312819536603934,1,2926.46,1.0,2.0838636363636365,2.0548181818181814,255.9,0.1,57.35809523809524,3.7,22.28,4.49,1.785909090909091,65.2,98.4
2019-6,2751.53,2941.76,2752.06,6.893018320821503,2,2980.38,1.0,2.15555,2.0719000000000003,255.361,0.2,54.657500000000006,3.6,21.37,4.68,1.5715,64.86,98.2
2019-5,2952.33,2752.06,2945.83,-6.5777726481161505,0,2941.76,2.0,2.3375454545454546,2.3938636363636365,255.325,0.0,60.82681818181818,3.6,21.15,4.73,1.866818181818182,64.44,100.0
2019-4,2848.63,2945.83,2834.4,3.931343494213937,2,2752.06,0.0,2.3673809523809526,2.53,255.163,0.1,63.862380952380946,3.6,21.56,4.64,1.6714285714285715,64.13,97.2
